vector,rating
0.71 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.71 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 ,1
0.63 0.00 0.00 0.27 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.04 0.13 0.09 0.00 0.04 0.00 0.00 0.00 0.04 0.00 0.00 0.00 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.09 0.04 0.04 0.04 0.09 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.04 0.00 0.04 0.00 0.04 0.00 0.00 0.00 0.00 0.00 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.31 0.04 0.13 0.09 0.13 0.04 0.09 0.13 0.22 0.04 0.00 0.13 0.00 0.13 0.18 0.13 0.00 0.18 0.13 0.27 0.13 0.09 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.00 ,-1
0.54 0.00 0.00 0.22 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.06 0.12 0.04 0.02 0.02 0.04 0.00 0.02 0.02 0.02 0.00 0.00 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.04 0.02 0.02 0.04 0.04 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.02 0.02 0.02 0.00 0.02 0.02 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.20 0.06 0.14 0.10 0.24 0.04 0.10 0.12 0.28 0.02 0.00 0.06 0.00 0.22 0.28 0.16 0.00 0.26 0.16 0.36 0.08 0.06 0.02 0.00 0.02 0.02 0.00 0.00 0.00 0.00 ,1
0.52 0.00 0.00 0.19 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03 0.07 0.16 0.03 0.01 0.03 0.03 0.00 0.01 0.01 0.01 0.00 0.00 0.07 0.00 0.00 0.00 0.00 0.00 0.01 0.04 0.03 0.05 0.07 0.05 0.01 0.03 0.01 0.00 0.00 0.00 0.00 0.01 0.00 0.01 0.01 0.04 0.03 0.04 0.03 0.01 0.03 0.04 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.23 0.04 0.13 0.13 0.25 0.04 0.09 0.15 0.23 0.03 0.00 0.13 0.01 0.17 0.31 0.16 0.00 0.28 0.12 0.35 0.07 0.04 0.04 0.00 0.01 0.01 0.00 0.00 0.00 0.00 ,-1
0.52 0.00 0.00 0.17 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.07 0.17 0.02 0.01 0.02 0.02 0.00 0.01 0.02 0.01 0.00 0.01 0.08 0.00 0.00 0.00 0.00 0.00 0.02 0.04 0.02 0.04 0.06 0.06 0.01 0.04 0.01 0.00 0.00 0.00 0.03 0.01 0.00 0.03 0.01 0.03 0.03 0.04 0.03 0.01 0.04 0.04 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.23 0.04 0.12 0.11 0.22 0.03 0.08 0.16 0.22 0.02 0.00 0.12 0.02 0.26 0.30 0.14 0.00 0.25 0.13 0.37 0.08 0.03 0.03 0.00 0.02 0.01 0.00 0.00 0.00 0.00 ,0
0.50 0.00 0.00 0.17 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.07 0.19 0.02 0.01 0.02 0.02 0.00 0.01 0.02 0.01 0.01 0.01 0.08 0.00 0.00 0.00 0.00 0.00 0.02 0.04 0.02 0.04 0.05 0.05 0.01 0.04 0.01 0.00 0.01 0.00 0.03 0.01 0.00 0.03 0.01 0.03 0.03 0.04 0.04 0.01 0.04 0.04 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.23 0.04 0.14 0.10 0.22 0.03 0.08 0.16 0.22 0.03 0.00 0.12 0.03 0.25 0.30 0.15 0.00 0.24 0.14 0.39 0.08 0.03 0.03 0.01 0.04 0.01 0.00 0.00 0.00 0.00 ,0
0.52 0.01 0.00 0.17 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.02 0.07 0.19 0.02 0.01 0.02 0.02 0.00 0.01 0.02 0.01 0.01 0.01 0.08 0.00 0.00 0.00 0.00 0.00 0.02 0.04 0.02 0.04 0.05 0.05 0.01 0.04 0.01 0.01 0.01 0.02 0.04 0.01 0.00 0.03 0.01 0.03 0.04 0.04 0.04 0.02 0.04 0.04 0.01 0.02 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.21 0.05 0.14 0.10 0.22 0.03 0.08 0.15 0.23 0.03 0.00 0.12 0.04 0.24 0.30 0.14 0.01 0.22 0.14 0.41 0.07 0.05 0.05 0.01 0.04 0.02 0.00 0.00 0.00 0.00 ,-1
0.54 0.01 0.00 0.20 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.02 0.09 0.17 0.02 0.01 0.02 0.02 0.00 0.01 0.02 0.01 0.01 0.01 0.07 0.00 0.00 0.00 0.00 0.00 0.02 0.03 0.02 0.04 0.04 0.06 0.01 0.04 0.01 0.01 0.01 0.02 0.04 0.01 0.00 0.02 0.01 0.02 0.03 0.04 0.03 0.02 0.03 0.03 0.01 0.02 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.19 0.05 0.12 0.09 0.24 0.02 0.08 0.14 0.20 0.02 0.02 0.13 0.03 0.23 0.33 0.12 0.01 0.22 0.15 0.38 0.07 0.06 0.05 0.01 0.03 0.02 0.00 0.00 0.00 0.00 ,0
0.53 0.01 0.00 0.18 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.10 0.17 0.02 0.01 0.03 0.01 0.00 0.01 0.02 0.01 0.01 0.01 0.07 0.00 0.00 0.00 0.00 0.00 0.01 0.03 0.03 0.05 0.03 0.06 0.01 0.03 0.01 0.01 0.01 0.01 0.03 0.01 0.00 0.02 0.01 0.03 0.03 0.03 0.03 0.02 0.03 0.03 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.18 0.05 0.13 0.08 0.24 0.02 0.06 0.15 0.19 0.02 0.02 0.14 0.04 0.23 0.35 0.11 0.01 0.19 0.15 0.39 0.09 0.07 0.05 0.01 0.03 0.01 0.00 0.00 0.00 0.00 ,1
0.52 0.01 0.00 0.19 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.09 0.17 0.02 0.01 0.02 0.01 0.00 0.01 0.02 0.01 0.01 0.01 0.07 0.00 0.00 0.00 0.00 0.00 0.01 0.04 0.02 0.06 0.03 0.05 0.01 0.06 0.01 0.01 0.01 0.01 0.03 0.02 0.00 0.02 0.01 0.02 0.02 0.03 0.03 0.02 0.02 0.03 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.21 0.04 0.12 0.07 0.29 0.02 0.06 0.14 0.18 0.02 0.02 0.12 0.06 0.22 0.33 0.10 0.01 0.20 0.19 0.40 0.08 0.06 0.04 0.01 0.03 0.01 0.00 0.00 0.00 0.00 ,0
